Operator,Shape,Operand1,Operand2,Operand3,Operand4,Operand5,Operand6,Operand7,Operand8
ATTR,ExistenceThenExistence,azurerm_application_gateway.force_firewall_policy_association == Existence,azurerm_application_gateway.timeouts == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.force_firewall_policy_association == Existence,azurerm_application_gateway.ssl_profile == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.force_firewall_policy_association == Existence,azurerm_application_gateway.rewrite_rule_set == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.force_firewall_policy_association == Existence,azurerm_application_gateway.redirect_configuration == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.force_firewall_policy_association == Existence,azurerm_application_gateway.probe == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.force_firewall_policy_association == Existence,azurerm_application_gateway.private_link_configuration == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.force_firewall_policy_association == Existence,azurerm_application_gateway.global == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.fips_enabled == Existence,azurerm_application_gateway.zones == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.fips_enabled == Existence,azurerm_application_gateway.waf_configuration == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.fips_enabled == Existence,azurerm_application_gateway.url_path_map == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.fips_enabled == Existence,azurerm_application_gateway.timeouts == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.fips_enabled == Existence,azurerm_application_gateway.ssl_profile == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.fips_enabled == Existence,azurerm_application_gateway.rewrite_rule_set == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.fips_enabled == Existence,azurerm_application_gateway.redirect_configuration == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.fips_enabled == Existence,azurerm_application_gateway.probe == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.fips_enabled == Existence,azurerm_application_gateway.private_link_configuration == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.fips_enabled == Existence,azurerm_application_gateway.global == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.fips_enabled == Existence,azurerm_application_gateway.force_firewall_policy_association == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.enable_http2 == Existence,azurerm_application_gateway.zones == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.enable_http2 == Existence,azurerm_application_gateway.waf_configuration == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.enable_http2 == Existence,azurerm_application_gateway.url_path_map == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.enable_http2 == Existence,azurerm_application_gateway.timeouts == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.enable_http2 == Existence,azurerm_application_gateway.ssl_profile == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.enable_http2 == Existence,azurerm_application_gateway.rewrite_rule_set == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.enable_http2 == Existence,azurerm_application_gateway.redirect_configuration == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.enable_http2 == Existence,azurerm_application_gateway.probe == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.enable_http2 == Existence,azurerm_application_gateway.private_link_configuration == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.enable_http2 == Existence,azurerm_application_gateway.global == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.enable_http2 == Existence,azurerm_application_gateway.force_firewall_policy_association == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.enable_http2 == Existence,azurerm_application_gateway.fips_enabled == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.custom_error_configuration == Existence,azurerm_application_gateway.zones == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.custom_error_configuration == Existence,azurerm_application_gateway.waf_configuration == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.custom_error_configuration == Existence,azurerm_application_gateway.url_path_map == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.custom_error_configuration == Existence,azurerm_application_gateway.timeouts == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.custom_error_configuration == Existence,azurerm_application_gateway.ssl_profile == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.custom_error_configuration == Existence,azurerm_application_gateway.rewrite_rule_set == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.custom_error_configuration == Existence,azurerm_application_gateway.redirect_configuration == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.custom_error_configuration == Existence,azurerm_application_gateway.probe == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.custom_error_configuration == Existence,azurerm_application_gateway.private_link_configuration == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.custom_error_configuration == Existence,azurerm_application_gateway.global == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.custom_error_configuration == Existence,azurerm_application_gateway.force_firewall_policy_association == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.custom_error_configuration == Existence,azurerm_application_gateway.fips_enabled == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.custom_error_configuration == Existence,azurerm_application_gateway.enable_http2 == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.backend_http_settings.connection_draining == Existence,azurerm_application_gateway.backend_http_settings.path == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.autoscale_configuration == Existence,azurerm_application_gateway.zones == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.autoscale_configuration == Existence,azurerm_application_gateway.waf_configuration == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.autoscale_configuration == Existence,azurerm_application_gateway.url_path_map == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.autoscale_configuration == Existence,azurerm_application_gateway.timeouts == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.autoscale_configuration == Existence,azurerm_application_gateway.ssl_profile == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.autoscale_configuration == Existence,azurerm_application_gateway.rewrite_rule_set == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.autoscale_configuration == Existence,azurerm_application_gateway.redirect_configuration == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.autoscale_configuration == Existence,azurerm_application_gateway.probe == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.autoscale_configuration == Existence,azurerm_application_gateway.private_link_configuration == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.autoscale_configuration == Existence,azurerm_application_gateway.global == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.autoscale_configuration == Existence,azurerm_application_gateway.force_firewall_policy_association == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.autoscale_configuration == Existence,azurerm_application_gateway.fips_enabled == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.autoscale_configuration == Existence,azurerm_application_gateway.enable_http2 == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.autoscale_configuration == Existence,azurerm_application_gateway.custom_error_configuration == Existence,,,,,,
ATTR,ConstantThenConstant,azurerm_application_gateway.frontend_ip_configuration.private_ip_address_allocation == Dynamic,azurerm_application_gateway.request_routing_rule.rule_type == Basic,,,,,,
ATTR,ConstantThenConstant,azurerm_application_gateway.backend_http_settings.cookie_based_affinity == Disabled,azurerm_application_gateway.request_routing_rule.rule_type == Basic,,,,,,
