Operator,Shape,Operand1,Operand2,Operand3,Operand4,Operand5,Operand6,Operand7,Operand8
COMBO,AssociateThenCIDRExcludeCombo,azurerm_application_gateway.gateway_ip_configuration.0.subnet_id == String,azurerm_application_gateway.private_link_configuration.0.ip_configuration.0.subnet_id == String,azurerm_subnet.id == String,azurerm_subnet.id == String,azurerm_subnet.address_prefixes == CIDR,azurerm_subnet.address_prefixes == CIDR
COMBO,ReferenceThenConstantComboUp,azurerm_application_gateway.frontend_ip_configuration.0.public_ip_address_id == String,azurerm_public_ip.id == String,azurerm_public_ip.sku_tier == Regional
COMBO,ReferenceThenAbsenceComboDown,azurerm_application_gateway.gateway_ip_configuration.0.subnet_id == String,azurerm_subnet.id == String,azurerm_application_gateway.timeouts == Absence
COMBO,AssociateThenUnequalCombo,azurerm_application_gateway.gateway_ip_configuration.0.subnet_id == String,azurerm_application_gateway.private_link_configuration.0.ip_configuration.0.subnet_id == String,azurerm_subnet.id == String,azurerm_subnet.id == String,azurerm_subnet.address_prefixes == String,azurerm_subnet.address_prefixes == String
COMBO,ReferenceThenAbsenceComboDown,azurerm_application_gateway.private_link_configuration.0.ip_configuration.0.subnet_id == String,azurerm_subnet.id == String,azurerm_application_gateway.probe == Absence
COMBO,ReferenceThenExistenceComboDown,azurerm_application_gateway.private_link_configuration.0.ip_configuration.0.subnet_id == String,azurerm_subnet.id == String,azurerm_application_gateway.private_link_configuration == Existence
COMBO,ReferenceThenAbsenceComboDown,azurerm_application_gateway.gateway_ip_configuration.0.subnet_id == String,azurerm_subnet.id == String,azurerm_application_gateway.private_link_configuration == Absence
COMBO,ReferenceThenAbsenceComboDown,azurerm_application_gateway.resource_group_name == String,azurerm_resource_group.name == String,azurerm_application_gateway.zones == Absence
COMBO,ReferenceThenAbsenceComboDown,azurerm_application_gateway.gateway_ip_configuration.0.subnet_id == String,azurerm_subnet.id == String,azurerm_application_gateway.zones == Absence
COMBO,ReferenceThenAbsenceComboUp,azurerm_application_gateway.frontend_ip_configuration.0.public_ip_address_id == String,azurerm_public_ip.id == String,azurerm_public_ip.reverse_fqdn == Absence
